# qdac_multiple_set	qdac_ch01_curr_ucal	qdac_ch02_curr_ucal	qdac_ch03_curr_ucal	qdac_ch04_curr_ucal	qdac_ch05_curr_ucal	qdac_ch06_curr_ucal	qdac_ch07_curr_ucal	qdac_ch08_curr_ucal	qdac_ch09_curr_ucal	qdac_ch10_curr_ucal	qdac_ch11_curr_ucal	qdac_ch12_curr_ucal	qdac_ch13_curr_ucal	qdac_ch14_curr_ucal	qdac_ch15_curr_ucal	qdac_ch16_curr_ucal	qdac_ch17_curr_ucal	qdac_ch18_curr_ucal	qdac_ch19_curr_ucal	qdac_ch20_curr_ucal	qdac_ch21_curr_ucal	qdac_ch22_curr_ucal	qdac_ch23_curr_ucal	qdac_ch24_curr_ucal	timer
# "Voltage"	"ch1"	"ch2"	"ch3"	"ch4"	"ch5"	"ch6"	"ch7"	"ch8"	"ch9"	"ch10"	"ch11"	"ch12"	"ch13"	"ch14"	"ch15"	"ch16"	"ch17"	"ch18"	"ch19"	"ch20"	"ch21"	"ch22"	"ch23"	"ch24"	"Elapsed time"
# 1001
-10	-0.000671749	-0.000683158	0.000391979	7.93067e-05	-8.24867e-05	9.66421e-05	-0.00062487	-0.000413054	0.000468253	-0.000372966	-0.000338588	-0.000869846	-6.81182e-05	0.000228894	2.75062e-05	0.000103413	-8.52165e-05	9.30559e-05	-0.00082456	-0.000513085	-0.000296917	0.000723703	3.89127e-06	0.000602621	1.0703571999984
-9.98	-0.000669653	-0.000681581	0.00039029	7.94397e-05	-8.27209e-05	9.61521e-05	-0.00062329	-0.000411616	0.000466552	-0.000371715	-0.000336424	-0.000866189	-6.75164e-05	0.000228469	2.75941e-05	0.000102825	-8.4845e-05	9.29814e-05	-0.00082255	-0.000512047	-0.000296771	0.000721059	4.11195e-06	0.000599839	1.55045489999975
-9.96	-0.000668016	-0.000679707	0.000388984	7.90993e-05	-8.27165e-05	9.63601e-05	-0.000621245	-0.000409544	0.000464852	-0.000370605	-0.000333745	-0.000863176	-6.67805e-05	0.000228305	2.74788e-05	0.000102407	-8.46369e-05	9.26731e-05	-0.000819752	-0.00051075	-0.000295044	0.000718173	4.8051e-06	0.000597573	2.03041219999795
-9.94	-0.000665716	-0.000678203	0.000387753	7.86411e-05	-8.31195e-05	9.60315e-05	-0.000619757	-0.000408026	0.000463457	-0.000369341	-0.000331367	-0.000859737	-6.59894e-05	0.000228432	2.68824e-05	0.000101739	-8.40524e-05	9.2207e-05	-0.000817171	-0.000509228	-0.000294567	0.000714988	5.38958e-06	0.000595337	2.51028829999996
-9.92	-0.000663745	-0.0006765	0.000386664	7.856e-05	-8.34636e-05	9.52497e-05	-0.000618009	-0.000406586	0.000461668	-0.000367927	-0.000328369	-0.000855842	-6.56443e-05	0.000228463	2.66563e-05	0.000101352	-8.35796e-05	9.13522e-05	-0.000815012	-0.000508357	-0.000293383	0.000712635	5.66964e-06	0.00059336	2.99031219999961
-9.9	-0.000661674	-0.000674837	0.000385313	7.79924e-05	-8.36029e-05	9.49917e-05	-0.000616331	-0.000404773	0.000459977	-0.000366646	-0.000326012	-0.000852735	-6.48129e-05	0.00022802	2.65434e-05	0.000100732	-8.33864e-05	9.12183e-05	-0.000812209	-0.000507242	-0.000293606	0.000709663	6.00701e-06	0.0005907	3.47025949999806
-9.88	-0.000659824	-0.0006732	0.000383947	7.8025e-05	-8.3792e-05	9.52787e-05	-0.000614361	-0.000403577	0.000458534	-0.000365309	-0.000323709	-0.000848991	-6.42294e-05	0.000227814	2.62224e-05	0.000100453	-8.30184e-05	9.05456e-05	-0.000810043	-0.000505943	-0.000292297	0.000706769	6.46137e-06	0.000588952	3.95008239999879
-9.86	-0.00065787	-0.000671939	0.000382645	7.77566e-05	-8.40749e-05	9.47963e-05	-0.000612947	-0.000402033	0.000456886	-0.000364274	-0.000321266	-0.00084641	-6.36972e-05	0.000227906	2.56689e-05	9.98543e-05	-8.23624e-05	9.04548e-05	-0.000807434	-0.000504787	-0.000291471	0.000704347	6.94985e-06	0.000586335	4.43006360000072
-9.84	-0.000656219	-0.000670309	0.000381169	7.76403e-05	-8.40013e-05	9.47774e-05	-0.000610735	-0.000400307	0.000454893	-0.000362633	-0.000318858	-0.000843055	-6.2829e-05	0.000226916	2.56185e-05	9.90538e-05	-8.21209e-05	8.98566e-05	-0.00080489	-0.000503813	-0.000291026	0.000701596	7.09301e-06	0.000584205	4.91012150000097
-9.82	-0.000654068	-0.000668702	0.000380111	7.7427e-05	-8.41318e-05	9.46503e-05	-0.000609129	-0.000398575	0.000453242	-0.000361625	-0.000316759	-0.000839647	-6.23823e-05	0.00022656	2.54503e-05	9.8577e-05	-8.19651e-05	8.9489e-05	-0.000802675	-0.00050275	-0.00029039	0.0006992	7.78116e-06	0.000581803	5.3900633000012
