# qdac_multiple_set	qdac_ch01_curr_ucal	qdac_ch02_curr_ucal	qdac_ch03_curr_ucal	qdac_ch04_curr_ucal	qdac_ch05_curr_ucal	qdac_ch06_curr_ucal	qdac_ch07_curr_ucal	qdac_ch08_curr_ucal	qdac_ch09_curr_ucal	qdac_ch10_curr_ucal	qdac_ch11_curr_ucal	qdac_ch12_curr_ucal	qdac_ch13_curr_ucal	qdac_ch14_curr_ucal	qdac_ch15_curr_ucal	qdac_ch16_curr_ucal	qdac_ch17_curr_ucal	qdac_ch18_curr_ucal	qdac_ch19_curr_ucal	qdac_ch20_curr_ucal	qdac_ch21_curr_ucal	qdac_ch22_curr_ucal	qdac_ch23_curr_ucal	qdac_ch24_curr_ucal	timer
# "Voltage"	"ch1"	"ch2"	"ch3"	"ch4"	"ch5"	"ch6"	"ch7"	"ch8"	"ch9"	"ch10"	"ch11"	"ch12"	"ch13"	"ch14"	"ch15"	"ch16"	"ch17"	"ch18"	"ch19"	"ch20"	"ch21"	"ch22"	"ch23"	"ch24"	"Elapsed time"
# 1001
-10	-7.71372e-09	-7.59412e-09	3.85728e-09	1.65458e-10	-1.29318e-09	6.23925e-10	-7.41629e-09	-5.03219e-09	4.50752e-09	-4.8447e-09	-4.72782e-09	-9.91001e-09	-1.30154e-09	2.09938e-09	-1.96941e-10	6.6498e-10	-1.49548e-09	5.54056e-10	-9.62634e-09	-5.74498e-09	-3.80026e-09	6.74855e-09	-4.26818e-10	5.73197e-09	1.03310360002797
-9.98	-7.6952e-09	-7.57305e-09	3.84406e-09	1.63524e-10	-1.28457e-09	6.2094e-10	-7.40206e-09	-5.0096e-09	4.49693e-09	-4.83066e-09	-4.69388e-09	-9.87229e-09	-1.28761e-09	2.09617e-09	-2.04859e-10	6.57814e-10	-1.4956e-09	5.55202e-10	-9.58321e-09	-5.72887e-09	-3.79616e-09	6.71437e-09	-4.21661e-10	5.71068e-09	1.52927639998961
-9.96	-7.66837e-09	-7.55573e-09	3.82673e-09	1.61155e-10	-1.28716e-09	6.22047e-10	-7.38104e-09	-4.98981e-09	4.4743e-09	-4.80911e-09	-4.66375e-09	-9.83331e-09	-1.27881e-09	2.0894e-09	-1.98975e-10	6.48712e-10	-1.48604e-09	5.42879e-10	-9.5602e-09	-5.71989e-09	-3.78547e-09	6.68938e-09	-4.17365e-10	5.68698e-09	2.00946339999791
-9.94	-7.64986e-09	-7.53589e-09	3.81226e-09	1.55515e-10	-1.28641e-09	6.13818e-10	-7.35644e-09	-4.97693e-09	4.45784e-09	-4.79508e-09	-4.6338e-09	-9.79945e-09	-1.2746e-09	2.0875e-09	-2.06304e-10	6.45355e-10	-1.47413e-09	5.42228e-10	-9.53502e-09	-5.70803e-09	-3.76845e-09	6.66738e-09	-4.12264e-10	5.66643e-09	2.48907600005623
-9.92	-7.62533e-09	-7.51886e-09	3.79849e-09	1.60907e-10	-1.28641e-09	6.17745e-10	-7.34208e-09	-4.9515e-09	4.44632e-09	-4.78125e-09	-4.6071e-09	-9.76253e-09	-1.26342e-09	2.08642e-09	-2.0508e-10	6.30867e-10	-1.47388e-09	5.36605e-10	-9.50727e-09	-5.69005e-09	-3.76492e-09	6.63328e-09	-4.07774e-10	5.63975e-09	2.9691544000525
-9.9	-7.60127e-09	-7.5029e-09	3.78456e-09	1.56198e-10	-1.29184e-09	6.20939e-10	-7.32888e-09	-4.9392e-09	4.42817e-09	-4.76641e-09	-4.57445e-09	-9.72324e-09	-1.25632e-09	2.08238e-09	-2.02508e-10	6.26691e-10	-1.46843e-09	5.33973e-10	-9.48531e-09	-5.67622e-09	-3.75404e-09	6.6126e-09	-4.04464e-10	5.62457e-09	3.46497620001901
-9.88	-7.5828e-09	-7.48623e-09	3.77594e-09	1.4581e-10	-1.28866e-09	6.20028e-10	-7.30621e-09	-4.91429e-09	4.41482e-09	-4.75163e-09	-4.54943e-09	-9.6838e-09	-1.24936e-09	2.08716e-09	-2.1113e-10	6.31878e-10	-1.4631e-09	5.33547e-10	-9.45503e-09	-5.65924e-09	-3.74633e-09	6.57184e-09	-3.98562e-10	5.5917e-09	3.96093800000381
-9.86	-7.56008e-09	-7.47114e-09	3.76169e-09	1.43006e-10	-1.29556e-09	6.20316e-10	-7.27868e-09	-4.89734e-09	4.40036e-09	-4.7353e-09	-4.52666e-09	-9.64429e-09	-1.23667e-09	2.08356e-09	-2.09698e-10	6.23141e-10	-1.45675e-09	5.31073e-10	-9.41764e-09	-5.64397e-09	-3.73481e-09	6.54775e-09	-3.91792e-10	5.57338e-09	4.44085340003949
-9.84	-7.53461e-09	-7.4503e-09	3.75785e-09	1.43898e-10	-1.29544e-09	6.21674e-10	-7.27396e-09	-4.88052e-09	4.38563e-09	-4.72581e-09	-4.50175e-09	-9.61285e-09	-1.23411e-09	2.07844e-09	-2.18699e-10	6.13832e-10	-1.4513e-09	5.24428e-10	-9.39623e-09	-5.63751e-09	-3.7302e-09	6.52136e-09	-3.8433e-10	5.54811e-09	4.92086970002856
-9.82	-7.52047e-09	-7.44078e-09	3.73997e-09	1.40978e-10	-1.29463e-09	6.12985e-10	-7.24103e-09	-4.86689e-09	4.36131e-09	-4.71213e-09	-4.47043e-09	-9.57363e-09	-1.22456e-09	2.07901e-09	-2.11715e-10	6.06019e-10	-1.44979e-09	5.21792e-10	-9.37284e-09	-5.61747e-09	-3.71852e-09	6.49846e-09	-3.72909e-10	5.5332e-09	5.41684389999136
