# qdac_multiple_set	qdac_ch01_curr_ucal	qdac_ch02_curr_ucal	qdac_ch03_curr_ucal	qdac_ch04_curr_ucal	qdac_ch05_curr_ucal	qdac_ch06_curr_ucal	qdac_ch07_curr_ucal	qdac_ch08_curr_ucal	qdac_ch09_curr_ucal	qdac_ch10_curr_ucal	qdac_ch11_curr_ucal	qdac_ch12_curr_ucal	qdac_ch13_curr_ucal	qdac_ch14_curr_ucal	qdac_ch15_curr_ucal	qdac_ch16_curr_ucal	qdac_ch17_curr_ucal	qdac_ch18_curr_ucal	qdac_ch19_curr_ucal	qdac_ch20_curr_ucal	qdac_ch21_curr_ucal	qdac_ch22_curr_ucal	qdac_ch23_curr_ucal	qdac_ch24_curr_ucal	timer
# "Voltage"	"ch1"	"ch2"	"ch3"	"ch4"	"ch5"	"ch6"	"ch7"	"ch8"	"ch9"	"ch10"	"ch11"	"ch12"	"ch13"	"ch14"	"ch15"	"ch16"	"ch17"	"ch18"	"ch19"	"ch20"	"ch21"	"ch22"	"ch23"	"ch24"	"Elapsed time"
# 1001
-10	-0.000683341	-0.000667471	0.00038595	4.96249e-05	-9.34416e-05	8.55063e-05	-0.000654688	-0.000436835	0.000470047	-0.000417553	-0.000402658	-0.000866959	-8.91606e-05	0.000231571	1.02213e-05	9.29945e-05	-0.000108541	8.49374e-05	-0.000851401	-0.000506236	-0.000324111	0.00069002	-1.389e-05	0.000584072	1.02187369996682
-9.98	-0.000681316	-0.000665662	0.000384816	4.94627e-05	-9.33503e-05	8.47852e-05	-0.000652965	-0.00043545	0.000468886	-0.000416436	-0.000400239	-0.00086305	-8.84144e-05	0.000231206	1.00083e-05	9.21207e-05	-0.000108023	8.47825e-05	-0.000848941	-0.000504991	-0.000323091	0.000687232	-1.32502e-05	0.000581837	1.5018852999201
-9.96	-0.000679367	-0.00066422	0.000383436	4.93179e-05	-9.35152e-05	8.49077e-05	-0.000650922	-0.000433499	0.00046694	-0.000415223	-0.000397686	-0.000860353	-8.79668e-05	0.000231653	9.87611e-06	9.15611e-05	-0.000107877	8.43489e-05	-0.000846352	-0.000504066	-0.000321973	0.000684454	-1.30086e-05	0.000579393	1.98180860001594
-9.94	-0.000677639	-0.000662361	0.000382177	4.91198e-05	-9.37052e-05	8.48485e-05	-0.000649147	-0.000432174	0.000465472	-0.000414048	-0.000395303	-0.000857086	-8.75299e-05	0.00023132	9.48243e-06	9.12027e-05	-0.000107296	8.37243e-05	-0.000843891	-0.000502715	-0.00032179	0.00068255	-1.2675e-05	0.000577162	2.47777200001292
-9.92	-0.000675073	-0.000660857	0.0003809	4.9143e-05	-9.41112e-05	8.48133e-05	-0.000647484	-0.00043074	0.000464041	-0.000412045	-0.00039293	-0.000853617	-8.67715e-05	0.000230918	9.40411e-06	9.01461e-05	-0.000107023	8.33321e-05	-0.000841225	-0.00050169	-0.000320706	0.000679896	-1.20499e-05	0.000574752	2.95782899996266
-9.9	-0.000673194	-0.000659542	0.000379489	4.8434e-05	-9.40188e-05	8.49603e-05	-0.00064546	-0.000429372	0.000462421	-0.000411248	-0.000390597	-0.000850418	-8.57948e-05	0.000230886	8.98411e-06	8.97696e-05	-0.000106494	8.30825e-05	-0.000839046	-0.00050038	-0.000319928	0.000677008	-1.17233e-05	0.000572793	3.45361670001876
-9.88	-0.00067121	-0.000657785	0.000378493	4.84228e-05	-9.43877e-05	8.50052e-05	-0.00064397	-0.000427234	0.000460525	-0.000410047	-0.000387811	-0.000847023	-8.51106e-05	0.000230379	8.79002e-06	8.88795e-05	-0.000106276	8.27467e-05	-0.000836809	-0.000499143	-0.000319284	0.000674756	-1.12002e-05	0.000570294	3.9337036999641
-9.86	-0.000669116	-0.000656421	0.000377066	4.82751e-05	-9.43295e-05	8.44823e-05	-0.0006421	-0.00042576	0.000459111	-0.000408512	-0.000386124	-0.000843617	-8.45957e-05	0.000230243	8.6364e-06	8.87665e-05	-0.000105808	8.20634e-05	-0.000834599	-0.000497759	-0.00031838	0.000671763	-1.08754e-05	0.000568007	4.41365459992085
-9.84	-0.000667105	-0.000655068	0.000375697	4.82574e-05	-9.45216e-05	8.45917e-05	-0.000640497	-0.000423961	0.000457909	-0.000407394	-0.00038391	-0.000840256	-8.39068e-05	0.000229167	8.60752e-06	8.81651e-05	-0.000105388	8.20888e-05	-0.000831522	-0.00049691	-0.000317654	0.000668684	-1.04958e-05	0.000565824	4.89358229993377
-9.82	-0.00066562	-0.000653403	0.000374471	4.78019e-05	-9.45817e-05	8.43899e-05	-0.000638868	-0.000424246	0.000456027	-0.000406031	-0.000381366	-0.000836781	-8.33802e-05	0.000229047	8.3634e-06	8.7259e-05	-0.00010516	8.15864e-05	-0.000829416	-0.000495838	-0.000316724	0.00066622	-9.99871e-06	0.000563596	5.37359610002022
-9.8	-0.000663288	-0.000652191	0.000373211	4.80065e-05	-9.47382e-05	8.41306e-05	-0.000637175	-0.000422647	0.000454768	-0.000405045	-0.000379037	-0.000834059	-8.23601e-05	0.000228857	8.20955e-06	8.68114e-05	-0.000104683	8.10356e-05	-0.000826836	-0.000494637	-0.000316124	0.000663393	-9.51376e-06	0.000561421	5.85353869991377
