# qdac_multiple_set	qdac_ch01_curr_ucal	qdac_ch02_curr_ucal	qdac_ch03_curr_ucal	qdac_ch04_curr_ucal	qdac_ch05_curr_ucal	qdac_ch06_curr_ucal	qdac_ch07_curr_ucal	qdac_ch08_curr_ucal	qdac_ch09_curr_ucal	qdac_ch10_curr_ucal	qdac_ch11_curr_ucal	qdac_ch12_curr_ucal	qdac_ch13_curr_ucal	qdac_ch14_curr_ucal	qdac_ch15_curr_ucal	qdac_ch16_curr_ucal	qdac_ch17_curr_ucal	qdac_ch18_curr_ucal	qdac_ch19_curr_ucal	qdac_ch20_curr_ucal	qdac_ch21_curr_ucal	qdac_ch22_curr_ucal	qdac_ch23_curr_ucal	qdac_ch24_curr_ucal	timer
# "Voltage"	"ch1"	"ch2"	"ch3"	"ch4"	"ch5"	"ch6"	"ch7"	"ch8"	"ch9"	"ch10"	"ch11"	"ch12"	"ch13"	"ch14"	"ch15"	"ch16"	"ch17"	"ch18"	"ch19"	"ch20"	"ch21"	"ch22"	"ch23"	"ch24"	"Elapsed time"
# 1001
-9.76	-7.27339e-09	-7.40291e-09	3.7788e-09	1.33651e-10	-1.09241e-09	7.12382e-10	-6.89969e-09	-4.5385e-09	4.3164e-09	-4.23241e-09	-3.91995e-09	-9.49815e-09	-9.70042e-10	2.03177e-09	-2.48287e-12	7.51549e-10	-1.10495e-09	6.86776e-10	-8.91046e-09	-5.62578e-09	-3.3464e-09	6.73065e-09	-2.42989e-10	5.66808e-09	6.76018350000959
-9.74	-7.25206e-09	-7.38551e-09	3.76793e-09	1.35015e-10	-1.09233e-09	7.13814e-10	-6.8808e-09	-4.52243e-09	4.30421e-09	-4.22825e-09	-3.88768e-09	-9.4589e-09	-9.6821e-10	2.03136e-09	-3.46336e-12	7.44325e-10	-1.09432e-09	6.82508e-10	-8.88766e-09	-5.62134e-09	-3.33459e-09	6.70547e-09	-2.4319e-10	5.64247e-09	7.24036960001104
-9.72	-7.22671e-09	-7.36739e-09	3.75069e-09	1.35373e-10	-1.09756e-09	7.13056e-10	-6.85993e-09	-4.49838e-09	4.2913e-09	-4.21334e-09	-3.86709e-09	-9.42253e-09	-9.56368e-10	2.03174e-09	-1.25325e-11	7.313e-10	-1.09937e-09	6.77213e-10	-8.85343e-09	-5.61165e-09	-3.32686e-09	6.68224e-09	-2.3587e-10	5.62412e-09	7.72017450002022
-9.7	-7.21047e-09	-7.35238e-09	3.74375e-09	1.25345e-10	-1.0966e-09	7.17746e-10	-6.84476e-09	-4.48772e-09	4.27031e-09	-4.19876e-09	-3.83879e-09	-9.39086e-09	-9.49498e-10	2.03292e-09	-1.2322e-11	7.3044e-10	-1.08933e-09	6.70315e-10	-8.83597e-09	-5.59515e-09	-3.317e-09	6.65399e-09	-2.34441e-10	5.59951e-09	8.20006910001393
-9.68	-7.1849e-09	-7.3376e-09	3.73775e-09	1.24859e-10	-1.09818e-09	7.16412e-10	-6.82208e-09	-4.47564e-09	4.25609e-09	-4.18275e-09	-3.81297e-09	-9.34894e-09	-9.45904e-10	2.02523e-09	-1.12864e-11	7.25617e-10	-1.08593e-09	6.77117e-10	-8.81548e-09	-5.58865e-09	-3.31114e-09	6.62753e-09	-2.31977e-10	5.58151e-09	8.68017850001343
-9.66	-7.16329e-09	-7.32337e-09	3.71934e-09	1.27236e-10	-1.09479e-09	7.1384e-10	-6.80584e-09	-4.45157e-09	4.24358e-09	-4.17172e-09	-3.79519e-09	-9.31075e-09	-9.35059e-10	2.02635e-09	-1.32879e-11	7.13823e-10	-1.08041e-09	6.6311e-10	-8.78746e-09	-5.57407e-09	-3.29793e-09	6.59593e-09	-2.22805e-10	5.56187e-09	9.15999519999605
-9.64	-7.14371e-09	-7.30565e-09	3.70185e-09	1.25082e-10	-1.10364e-09	7.19893e-10	-6.77849e-09	-4.43969e-09	4.22652e-09	-4.16059e-09	-3.76098e-09	-9.28137e-09	-9.25203e-10	2.02242e-09	-1.82685e-11	7.17679e-10	-1.07032e-09	6.59969e-10	-8.76009e-09	-5.55451e-09	-3.29072e-09	6.57028e-09	-2.19492e-10	5.54614e-09	9.64003340003546
-9.62	-7.11741e-09	-7.28376e-09	3.69698e-09	1.2194e-10	-1.1056e-09	7.16822e-10	-6.77727e-09	-4.42607e-09	4.21329e-09	-4.14494e-09	-3.74463e-09	-9.22873e-09	-9.20017e-10	2.01456e-09	-1.17493e-11	7.04045e-10	-1.07472e-09	6.57908e-10	-8.73329e-09	-5.55152e-09	-3.28346e-09	6.54432e-09	-2.10807e-10	5.51928e-09	10.1199535999913
-9.6	-7.09984e-09	-7.26632e-09	3.68383e-09	1.25051e-10	-1.10428e-09	7.16343e-10	-6.75938e-09	-4.4061e-09	4.19124e-09	-4.13567e-09	-3.71383e-09	-9.19706e-09	-9.19177e-10	2.00442e-09	-2.38619e-11	7.03466e-10	-1.06983e-09	6.60342e-10	-8.70599e-09	-5.53483e-09	-3.27404e-09	6.5181e-09	-2.06439e-10	5.49811e-09	10.6000140000833
-9.58	-7.07675e-09	-7.25312e-09	3.67306e-09	1.19379e-10	-1.11346e-09	7.13766e-10	-6.74163e-09	-4.38629e-09	4.18687e-09	-4.11794e-09	-3.69782e-09	-9.16999e-09	-9.05826e-10	2.00653e-09	-2.16888e-11	6.99542e-10	-1.07115e-09	6.47333e-10	-8.68459e-09	-5.52039e-09	-3.26672e-09	6.49659e-09	-2.0203e-10	5.47926e-09	11.0799285999965
