# qdac_multiple_set	qdac_ch01_curr_ucal	qdac_ch02_curr_ucal	qdac_ch03_curr_ucal	qdac_ch04_curr_ucal	qdac_ch05_curr_ucal	qdac_ch06_curr_ucal	qdac_ch07_curr_ucal	qdac_ch08_curr_ucal	qdac_ch09_curr_ucal	qdac_ch10_curr_ucal	qdac_ch11_curr_ucal	qdac_ch12_curr_ucal	qdac_ch13_curr_ucal	qdac_ch14_curr_ucal	qdac_ch15_curr_ucal	qdac_ch16_curr_ucal	qdac_ch17_curr_ucal	qdac_ch18_curr_ucal	qdac_ch19_curr_ucal	qdac_ch20_curr_ucal	qdac_ch21_curr_ucal	qdac_ch22_curr_ucal	qdac_ch23_curr_ucal	qdac_ch24_curr_ucal	timer
# "Voltage"	"ch1"	"ch2"	"ch3"	"ch4"	"ch5"	"ch6"	"ch7"	"ch8"	"ch9"	"ch10"	"ch11"	"ch12"	"ch13"	"ch14"	"ch15"	"ch16"	"ch17"	"ch18"	"ch19"	"ch20"	"ch21"	"ch22"	"ch23"	"ch24"	"Elapsed time"
# 1001
-10	-7.5886e-09	-7.75593e-09	3.9075e-09	4.78786e-10	-1.1627e-09	7.18742e-10	-7.09597e-09	-4.77059e-09	4.47693e-09	-4.3706e-09	-4.03891e-09	-9.91286e-09	-1.04151e-09	2.06771e-09	-7.6115e-12	7.84896e-10	-1.23478e-09	6.76901e-10	-9.31286e-09	-5.79933e-09	-3.51334e-09	7.0794e-09	-2.40941e-10	5.92576e-09	1.05037100000118
-9.98	-7.56262e-09	-7.7366e-09	3.89812e-09	4.77043e-10	-1.16697e-09	7.13025e-10	-7.07035e-09	-4.75371e-09	4.46627e-09	-4.34924e-09	-4.00676e-09	-9.87187e-09	-1.0299e-09	2.063e-09	-1.44071e-11	7.71268e-10	-1.23498e-09	6.7158e-10	-9.27831e-09	-5.79064e-09	-3.49836e-09	7.04408e-09	-2.33604e-10	5.90272e-09	1.53054989999873
-9.96	-7.54007e-09	-7.72551e-09	3.87888e-09	4.74212e-10	-1.17425e-09	7.19744e-10	-7.05199e-09	-4.73471e-09	4.44598e-09	-4.33943e-09	-3.97974e-09	-9.83563e-09	-1.0199e-09	2.06131e-09	-1.11043e-11	7.64218e-10	-1.22795e-09	6.69117e-10	-9.25671e-09	-5.77487e-09	-3.49785e-09	7.02213e-09	-2.17515e-10	5.87624e-09	2.01029460000063
-9.94	-7.52904e-09	-7.70182e-09	3.87924e-09	4.72011e-10	-1.16786e-09	7.16899e-10	-7.03819e-09	-4.71691e-09	4.43402e-09	-4.315e-09	-3.95196e-09	-9.79923e-09	-1.01476e-09	2.06082e-09	-1.36944e-11	7.59119e-10	-1.22931e-09	6.69456e-10	-9.22485e-09	-5.75815e-09	-3.47818e-09	6.9856e-09	-2.23083e-10	5.85358e-09	2.49045169999954
-9.92	-7.49803e-09	-7.68585e-09	3.85722e-09	4.65983e-10	-1.17257e-09	7.23351e-10	-7.01456e-09	-4.69986e-09	4.40985e-09	-4.30581e-09	-3.92827e-09	-9.76186e-09	-1.0046e-09	2.05762e-09	-1.75814e-11	7.54785e-10	-1.22543e-09	6.66483e-10	-9.20133e-09	-5.7455e-09	-3.47464e-09	6.96484e-09	-2.15547e-10	5.83295e-09	2.97026600000027
-9.9	-7.47551e-09	-7.67372e-09	3.8532e-09	4.5942e-10	-1.17815e-09	7.23872e-10	-6.99387e-09	-4.67593e-09	4.40126e-09	-4.28822e-09	-3.90626e-09	-9.72635e-09	-9.96639e-10	2.05854e-09	-2.39913e-11	7.50041e-10	-1.21483e-09	6.55141e-10	-9.16615e-09	-5.73455e-09	-3.47322e-09	6.9351e-09	-2.1041e-10	5.81055e-09	3.45021199999974
-9.88	-7.45162e-09	-7.65448e-09	3.83128e-09	4.66632e-10	-1.1801e-09	7.14263e-10	-6.97684e-09	-4.66518e-09	4.37861e-09	-4.28035e-09	-3.87167e-09	-9.69331e-09	-9.8775e-10	2.05207e-09	-2.16803e-11	7.50906e-10	-1.2174e-09	6.65279e-10	-9.14275e-09	-5.7204e-09	-3.46101e-09	6.90863e-09	-2.08063e-10	5.78596e-09	3.93020280000201
-9.86	-7.42708e-09	-7.63127e-09	3.81837e-09	4.65778e-10	-1.17612e-09	7.20022e-10	-6.96088e-09	-4.6453e-09	4.35688e-09	-4.26915e-09	-3.84353e-09	-9.64842e-09	-9.9149e-10	2.04506e-09	-2.82203e-11	7.3869e-10	-1.20626e-09	6.48384e-10	-9.11472e-09	-5.70805e-09	-3.45064e-09	6.87595e-09	-2.03056e-10	5.7612e-09	4.41020779999963
-9.84	-7.40476e-09	-7.61144e-09	3.81264e-09	4.6093e-10	-1.18534e-09	7.15203e-10	-6.94619e-09	-4.62431e-09	4.33984e-09	-4.24937e-09	-3.81985e-09	-9.61361e-09	-9.74265e-10	2.04337e-09	-2.56656e-11	7.26298e-10	-1.20335e-09	6.51404e-10	-9.09205e-09	-5.69564e-09	-3.44476e-09	6.85478e-09	-1.907e-10	5.73994e-09	4.89021639999919
-9.82	-7.38179e-09	-7.59606e-09	3.80018e-09	4.58269e-10	-1.1738e-09	7.16922e-10	-6.92696e-09	-4.61145e-09	4.33254e-09	-4.23765e-09	-3.79614e-09	-9.57606e-09	-9.75562e-10	2.04295e-09	-3.56671e-11	7.28877e-10	-1.19988e-09	6.40975e-10	-9.06108e-09	-5.67976e-09	-3.43123e-09	6.82767e-09	-1.88072e-10	5.72191e-09	5.37008820000119
